sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
212450_70_1,800,180,486,133,99,24,123,34,65,0,0.00013000
235536_93_1,527,171,278,77,204,15,219,74,130,129,0.00019214
548183_82_1,763,177,393,192,297,23,320,102,195,194,0.00028404
61460_4_1,830,189,491,149,411,25,436,151,260,323,0.00037798
153249_69_1,771,180,419,172,517,15,532,192,325,388,0.00043448
20245_103_all,705,164,418,121,613,18,631,223,390,509,0.00051954
192259_1_2,1121,186,813,122,710,11,721,255,455,574,0.00057784
99265_8_all,1437,174,1100,163,804,30,834,284,520,702,0.00070052
71322_22_2,1063,167,774,121,919,19,938,334,585,840,0.00076440
499700_100_3,787,180,485,120,1020,22,1042,370,650,905,0.00084910
396284_77_1,1075,177,708,189,1123,34,1157,408,715,1034,0.00096044
77931_92_5,834,169,609,54,1238,10,1248,458,780,1163,0.00099258
241340_39_3,924,185,616,122,1326,22,1348,481,845,1228,0.00109108
198137_74_2,1063,166,770,125,1431,12,1443,521,910,1357,0.00115082
566893_32_3,1082,180,798,103,1528,17,1545,553,975,1422,0.00123792
505739_66_2,1336,182,1022,130,1631,20,1651,591,1040,1551,0.00132766
50159_9_2,1468,172,1167,128,1735,20,1755,630,1105,1614,0.00140684
197875_97_4,1202,184,875,141,1844,21,1865,674,1170,1745,0.00149550
572487_38_3,1439,175,1149,115,1946,25,1971,711,1235,1874,0.00158704
67952_94_all,1208,168,900,139,2061,15,2076,761,1300,1939,0.00164894
533942_90_1,1218,174,907,135,2157,24,2181,792,1365,2068,0.00174888
513895_95_3,1523,184,855,483,2261,16,2277,831,1430,2133,0.00180898
130966_79_3,2100,187,1144,768,2359,20,2379,864,1495,2262,0.00189812
28994_85_1,1991,267,1603,119,2460,14,2474,900,1560,2391,0.00196506
285477_117_1,1345,180,1044,121,2552,14,2566,927,1625,2456,0.00203716
429448_5_2,1534,188,1220,124,2648,21,2669,958,1690,2521,0.00212846
124899_45_5,2034,171,1740,122,2749,16,2765,994,1755,2650,0.00219780
81323_25_2,1783,175,1485,122,2844,18,2862,1024,1820,2715,0.00227650
346926_28_3,1462,170,1137,154,2944,26,2970,1059,1885,2844,0.00237644
21459_18_3,1759,183,1455,120,3053,11,3064,1103,1950,2973,0.00242658
314383_26_4,1901,173,1605,122,3147,14,3161,1132,2015,3022,0.00250612
73694_48_1,1967,175,1644,147,3242,20,3262,1162,2080,3153,0.00259838
265351_80_3,1746,179,1412,155,3346,21,3367,1201,2145,3232,0.00268092
67259_61_2,1578,174,1280,123,3451,19,3470,1241,2210,3361,0.00275986
139782_4_4,1471,172,1168,130,3626,21,3647,1286,2340,3426,0.00289956
270661_56_3,1893,186,1591,116,3883,15,3898,1348,2535,3620,0.00309000
440610_2_1,1734,189,1429,115,4058,10,4068,1393,2665,3879,0.00322454
465422_7_2,1877,181,1569,126,4230,13,4243,1435,2795,4073,0.00337258
42308_47_3,2439,178,2127,132,4491,23,4514,1501,2990,4194,0.00359944
4360_26_1,1981,190,1663,127,4670,17,4687,1550,3120,4526,0.00373836
31671_24_1,2244,179,1928,136,4841,17,4858,1591,3250,4655,0.00387470
572769_46_1,2103,198,1799,106,5115,18,5133,1670,3445,4850,0.00409220
271586_85_2,2349,159,2073,116,5378,16,5394,1738,3640,5109,0.00429974
76101_85_2,2764,178,2454,131,5554,17,5571,1784,3770,5363,0.00444898
517805_80_2,2758,198,2448,111,5816,14,5830,1851,3965,5562,0.00464992
87403_19_1,2489,208,2131,149,6060,19,6079,1900,4160,5821,0.00486286
24674_76_1,2692,194,2341,156,6312,23,6335,1957,4355,6080,0.00507820
184227_61_2,2669,188,2332,148,6589,25,6614,2039,4550,6339,0.00530374
171468_80_1,2600,201,2280,118,6847,14,6861,2102,4745,6598,0.00548668
414279_97_1,3931,172,3579,178,7094,26,7120,2154,4940,6855,0.00571810
