sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
514366_35_2,3893,3893,0,0,116,333,449,0,0,0,0.00013320
428305_69_3,4558,4558,0,0,111,473,584,0,0,0,0.00018920
286212_91_4,2617,2617,0,0,110,210,320,0,0,0,0.00008400
58079_34_1,3035,3035,0,0,114,267,381,0,0,0,0.00010680
119579_102_1,3086,3086,0,0,111,139,250,0,0,0,0.00005560
464196_74_all,2675,2675,0,0,113,275,388,0,0,0,0.00011000
74478_76_1,3242,3242,0,0,113,340,453,0,0,0,0.00013600
235843_97_2,4649,4649,0,0,108,589,697,0,0,0,0.00023560
449075_36_3,6611,6611,0,0,110,841,951,0,0,0,0.00033640
430643_0_3,4600,4600,0,0,116,142,258,0,0,0,0.00005680
