sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
514366_35_2,646,158,372,116,102,13,115,37,65,0,0.00068100
428305_69_3,667,156,322,187,97,22,119,32,65,0,0.00080500
286212_91_4,806,149,511,146,96,16,112,31,65,0,0.00070500
58079_34_1,688,136,442,109,100,14,114,35,65,0,0.00068900
119579_102_1,870,136,616,117,97,11,108,32,65,0,0.00062900
464196_74_all,728,148,455,123,99,14,113,34,65,0,0.00068500
74478_76_1,1776,165,1368,242,99,26,125,34,65,0,0.00087700
235843_97_2,626,172,335,118,94,15,109,29,65,0,0.00068100
449075_36_3,959,151,693,114,96,12,108,31,65,0,0.00064100
430643_0_3,632,149,370,112,102,9,111,37,65,0,0.00061700
