sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
514366_35_2,3889,3889,0,0,101,141,242,36,65,0,0.00030725
428305_69_3,6792,6792,0,0,96,163,259,31,65,0,0.00035000
286212_91_4,3364,3364,0,0,95,82,177,30,65,0,0.00018775
58079_34_1,4022,4022,0,0,99,139,238,34,65,0,0.00030275
119579_102_1,2778,2778,0,0,96,75,171,31,65,0,0.00017400
464196_74_all,7025,7025,0,0,98,213,311,33,65,0,0.00045050
74478_76_1,5036,5036,0,0,98,155,253,33,65,0,0.00033450
235843_97_2,4201,4201,0,0,93,146,239,28,65,0,0.00031525
449075_36_3,9120,9120,0,0,95,457,552,30,65,0,0.00093775
430643_0_3,2714,2714,0,0,101,77,178,36,65,0,0.00017925
