sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
514366_35_2,987,987,0,0,124,17,141,59,65,0,0.00007680
428305_69_3,1273,1273,0,0,119,17,136,54,65,0,0.00007480
286212_91_4,795,795,0,0,118,17,135,53,65,0,0.00007440
58079_34_1,717,717,0,0,122,10,132,57,65,0,0.00006480
119579_102_1,995,995,0,0,119,9,128,54,65,0,0.00006200
464196_74_all,883,883,0,0,121,16,137,56,65,0,0.00007400
74478_76_1,1799,1799,0,0,121,28,149,56,65,0,0.00009320
235843_97_2,944,944,0,0,116,17,133,51,65,0,0.00007360
449075_36_3,1049,1049,0,0,118,10,128,53,65,0,0.00006320
430643_0_3,1071,1071,0,0,124,10,134,59,65,0,0.00006560
