preprocessor,sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
Baseline_NoOp,338002,733,412,297,23,152,5,157,87,65,0,0.00011620
Baseline_NoOp,387002,766,487,261,16,158,3,161,93,65,0,0.00011500
Baseline_NoOp,486003,912,611,280,20,154,5,159,89,65,0,0.00011740
Baseline_NoOp,699002,939,203,702,34,152,5,157,87,65,0,0.00011620
Baseline_NoOp,1000004,1281,629,628,22,153,4,157,88,65,117,0.00012142
Baseline_NoOp,1205000,1074,635,285,153,154,5,159,89,65,0,0.00011740
Baseline_NoOp,1342027,1786,432,1340,12,153,3,156,88,65,0,0.00011200
Baseline_NoOp,1342078,764,479,265,18,157,4,161,92,65,0,0.00011680
Baseline_NoOp,1398001,803,484,301,18,157,3,160,92,65,0,0.00011440
Baseline_NoOp,1503002,630,171,447,12,151,3,154,86,65,0,0.00011080
Baseline_NoOp,1503003,548,172,361,14,162,3,165,97,65,0,0.00011740
Baseline_NoOp,1525025,738,439,285,13,154,3,157,89,65,0,0.00011260
Baseline_NoOp,2006001,841,514,304,22,153,5,158,88,65,0,0.00011680
Baseline_NoOp,2295000,784,503,267,12,156,3,159,91,65,0,0.00011380
Baseline_NoOp,3255000,771,471,278,20,158,4,162,93,65,0,0.00011740
Baseline_NoOp,3378000,683,397,270,15,153,3,156,88,65,0,0.00011200
Baseline_NoOp,3693000,835,411,407,15,153,4,157,88,65,0,0.00011440
Baseline_NoOp,3703001,935,555,366,13,152,4,156,87,65,0,0.00011380
Baseline_NoOp,3711010,721,412,294,14,153,4,157,88,65,0,0.00011440
Baseline_NoOp,3716000,954,622,318,13,151,3,154,86,65,0,0.00011080
Baseline_NoOp,3742003,756,477,263,15,153,3,156,88,65,0,0.00011200
Baseline_NoOp,3939000,1189,455,624,109,155,6,161,90,65,0,0.00012040
Baseline_NoOp,3939001,762,464,281,16,153,3,156,88,65,0,0.00011200
Baseline_NoOp,3939002,952,487,444,20,154,3,157,89,65,0,0.00011260
Baseline_NoOp,3947006,765,475,277,13,154,4,158,89,65,0,0.00011500
Baseline_NoOp,3983001,901,467,399,34,156,4,160,91,65,0,0.00011620
Baseline_NoOp,4265001,951,643,298,9,153,3,156,88,65,0,0.00011200
Baseline_NoOp,4554002,716,410,289,15,153,4,157,88,65,0,0.00011440
Baseline_NoOp,5060000,748,470,261,15,157,3,160,92,65,0,0.00011440
Baseline_NoOp,5123004,832,453,322,55,154,4,158,89,65,0,0.00011500
Baseline_NoOp,5385001,905,604,281,18,154,3,157,89,65,0,0.00011260
Baseline_NoOp,5388002,871,532,324,14,151,4,155,86,65,0,0.00011320
Baseline_NoOp,5486002,980,609,357,14,152,3,155,87,65,0,0.00011140
Baseline_NoOp,5502000,828,502,310,15,154,4,158,89,65,0,0.00011500
Baseline_NoOp,5652001,1555,437,1108,8,156,3,159,91,65,0,0.00011380
Baseline_NoOp,5694002,906,496,372,36,151,5,156,86,65,0,0.00011560
Baseline_NoOp,5816002,1236,471,719,45,154,3,157,89,65,0,0.00011260
Baseline_NoOp,5992000,845,503,327,14,152,4,156,87,65,0,0.00011380
Baseline_NoOp,6040004,1031,641,373,15,156,3,159,91,65,0,0.00011380
Baseline_NoOp,6471007,981,417,406,157,152,30,182,87,65,0,0.00017620
Baseline_NoOp,6580000,938,600,321,16,153,4,157,88,65,0,0.00011440
Baseline_NoOp,6580003,917,586,312,18,154,3,157,89,65,0,0.00011260
Baseline_NoOp,6771003,924,459,458,6,152,3,155,87,65,64,0.00011524
Baseline_NoOp,6871002,1140,542,564,33,151,5,156,86,65,0,0.00011560
Baseline_NoOp,7072001,668,399,245,23,154,4,158,89,65,0,0.00011500
Baseline_NoOp,7570002,852,512,316,22,152,4,156,87,65,0,0.00011380
Baseline_NoOp,7726000,1430,529,878,22,153,5,158,88,65,0,0.00011680
Baseline_NoOp,7938001,952,629,309,12,151,3,154,86,65,64,0.00011464
Baseline_NoOp,7938006,801,497,290,13,161,3,164,96,65,0,0.00011680
Baseline_NoOp,7938007,1102,552,527,22,157,3,160,92,65,0,0.00011440
Downsampler,338002,473,155,298,19,152,4,156,87,65,0,0.00011380
Downsampler,387002,406,146,241,18,158,3,161,93,65,0,0.00011500
Downsampler,486003,745,155,577,12,154,3,157,89,65,0,0.00011260
Downsampler,699002,735,148,573,13,152,3,155,87,65,0,0.00011140
Downsampler,1000004,649,163,473,13,153,3,156,88,65,0,0.00011200
Downsampler,1205000,673,155,495,21,154,4,158,89,65,0,0.00011500
Downsampler,1342027,424,149,264,11,153,3,156,88,65,0,0.00011200
Downsampler,1342078,620,151,447,21,157,4,161,92,65,0,0.00011680
Downsampler,1398001,725,158,556,11,157,3,160,92,65,0,0.00011440
Downsampler,1503002,851,146,692,12,151,3,154,86,65,0,0.00011080
Downsampler,1503003,517,150,352,15,162,3,165,97,65,0,0.00011740
Downsampler,1525025,563,162,384,15,154,3,157,89,65,0,0.00011260
Downsampler,2006001,459,152,289,16,153,4,157,88,65,0,0.00011440
Downsampler,2295000,504,150,342,12,156,3,159,91,65,0,0.00011380
Downsampler,3255000,422,156,257,8,158,3,161,93,65,0,0.00011500
Downsampler,3378000,437,148,268,20,153,4,157,88,65,0,0.00011440
Downsampler,3693000,393,158,215,19,153,4,157,88,65,0,0.00011440
Downsampler,3703001,1180,157,1004,18,152,4,156,87,65,0,0.00011380
Downsampler,3711010,676,147,512,16,153,4,157,88,65,0,0.00011440
Downsampler,3716000,639,150,470,17,151,4,155,86,65,0,0.00011320
