preprocessor,sample_id,end_to_end_ms,send_to_response_created_ms,response_created_to_first_token_ms,first_token_to_done_ms,input_tokens,output_tokens,total_tokens,text_input_tokens,image_input_tokens,cached_tokens,total_cost_usd
Baseline_NoOp,338002,780,410,350,19,532,3,535,209,323,0,0.00249900
Baseline_NoOp,387002,1309,485,806,17,538,3,541,215,323,0,0.00252300
Baseline_NoOp,486003,1558,794,751,12,534,3,537,211,323,0,0.00250700
Baseline_NoOp,699002,609,200,388,20,393,3,396,199,194,0,0.00181400
Baseline_NoOp,1000004,1176,609,544,22,533,3,536,210,323,0,0.00250300
Downsampler,338002,507,159,319,28,393,4,397,199,194,0,0.00183000
Downsampler,387002,433,145,271,16,399,3,402,205,194,0,0.00183800
Downsampler,486003,834,164,653,16,395,3,398,201,194,0,0.00182200
Downsampler,699002,429,151,268,9,393,3,396,199,194,0,0.00181400
Downsampler,1000004,712,161,531,19,394,3,397,200,194,0,0.00181800
Grayscale,338002,863,316,531,15,532,3,535,209,323,0,0.00249900
Grayscale,387002,991,436,524,30,538,3,541,215,323,0,0.00252300
Grayscale,486003,846,387,435,23,534,3,537,211,323,0,0.00250700
Grayscale,699002,560,176,373,10,393,3,396,199,194,0,0.00181400
Grayscale,1000004,885,421,442,20,533,3,536,210,323,0,0.00250300
Jpeg_Q85,338002,690,327,342,20,532,3,535,209,323,0,0.00249900
Jpeg_Q85,387002,962,477,458,27,538,3,541,215,323,0,0.00252300
Jpeg_Q85,486003,964,443,500,20,534,3,537,211,323,0,0.00250700
Jpeg_Q85,699002,473,179,265,28,393,3,396,199,194,0,0.00181400
Jpeg_Q85,1000004,1222,680,522,20,533,3,536,210,323,0,0.00250300
WebP_Lossy_Q85,338002,657,344,297,16,532,3,535,209,323,0,0.00249900
WebP_Lossy_Q85,387002,1757,475,1268,13,538,3,541,215,323,0,0.00252300
WebP_Lossy_Q85,486003,912,398,514,0,534,3,537,211,323,0,0.00250700
WebP_Lossy_Q85,699002,551,198,314,38,393,3,396,199,194,0,0.00181400
WebP_Lossy_Q85,1000004,884,497,363,23,533,3,536,210,323,0,0.00250300
GazeRoi+GlobalThumb,338002,538,177,349,11,603,3,606,215,388,0,0.00284800
GazeRoi+GlobalThumb,387002,522,156,344,21,609,3,612,221,388,0,0.00287200
GazeRoi+GlobalThumb,486003,1680,161,509,1009,605,3,608,217,388,0,0.00285600
GazeRoi+GlobalThumb,699002,734,174,530,29,603,3,606,215,388,0,0.00284800
GazeRoi+GlobalThumb,1000004,553,162,355,36,604,3,607,216,388,0,0.00285200
SalientRoi+GlobalThumb,338002,553,171,351,30,603,4,607,215,388,0,0.00286400
SalientRoi+GlobalThumb,387002,574,184,356,33,609,3,612,221,388,0,0.00287200
SalientRoi+GlobalThumb,486003,733,182,535,15,605,3,608,217,388,0,0.00285600
SalientRoi+GlobalThumb,699002,704,178,503,22,603,3,606,215,388,0,0.00284800
SalientRoi+GlobalThumb,1000004,562,163,387,10,604,3,607,216,388,0,0.00285200
YoloV12SalientRoi+GlobalThumb,338002,1074,431,605,36,1653,3,1656,295,1358,0,0.00801800
YoloV12SalientRoi+GlobalThumb,387002,1009,332,659,16,819,3,822,237,582,0,0.00390600
YoloV12SalientRoi+GlobalThumb,486003,648,189,439,19,815,3,818,233,582,0,0.00389000
YoloV12SalientRoi+GlobalThumb,699002,634,175,448,11,603,3,606,215,388,0,0.00284800
