technique,image_id,original_pixels_w,original_pixels_h,processed_pixels_w,processed_pixels_h,processed_pixels_total,payload_image_count,original_binary_bytes,processed_binary_bytes,compression_ratio,base64_chars_total,base64_bytes_utf8_total,data_url_bytes_utf8_total,json_bytes_utf8
Baseline_NoOp,100021_103_1.jpg,224,224,224,224,50176,1,16367,16367,1.000000,21824,21824,21847,23923
Baseline_NoOp,100021_103_2.jpg,224,224,224,224,50176,1,16367,16367,1.000000,21824,21824,21847,23923
Baseline_NoOp,100021_103_3.jpg,224,224,224,224,50176,1,16367,16367,1.000000,21824,21824,21847,23923
Baseline_NoOp,100037_80_1.jpg,224,224,224,224,50176,1,26312,26312,1.000000,35084,35084,35107,37653
Baseline_NoOp,100037_80_2.jpg,224,224,224,224,50176,1,26312,26312,1.000000,35084,35084,35107,37653
Baseline_NoOp,100037_80_3.jpg,224,224,224,224,50176,1,26312,26312,1.000000,35084,35084,35107,37653
Baseline_NoOp,100037_80_all.jpg,224,224,224,224,50176,1,26312,26312,1.000000,35084,35084,35107,37653
Baseline_NoOp,100078_71_1.jpg,224,224,224,224,50176,1,15446,15446,1.000000,20596,20596,20619,22640
Baseline_NoOp,100078_71_2.jpg,224,224,224,224,50176,1,15446,15446,1.000000,20596,20596,20619,22640
Baseline_NoOp,100111_15_1.jpg,224,224,224,224,50176,1,21097,21097,1.000000,28132,28132,28155,30556
Baseline_NoOp,100111_15_2.jpg,224,224,224,224,50176,1,21097,21097,1.000000,28132,28132,28155,30556
Baseline_NoOp,100111_15_3.jpg,224,224,224,224,50176,1,21097,21097,1.000000,28132,28132,28155,30556
Baseline_NoOp,100111_15_4.jpg,224,224,224,224,50176,1,21097,21097,1.000000,28132,28132,28155,30556
Baseline_NoOp,100111_15_5.jpg,224,224,224,224,50176,1,21097,21097,1.000000,28132,28132,28155,30556
Baseline_NoOp,100132_84_1.jpg,224,224,224,224,50176,1,23971,23971,1.000000,31964,31964,31987,34728
Baseline_NoOp,100132_84_3.jpg,224,224,224,224,50176,1,23971,23971,1.000000,31964,31964,31987,34728
Baseline_NoOp,100132_84_4.jpg,224,224,224,224,50176,1,23971,23971,1.000000,31964,31964,31987,34728
Baseline_NoOp,100142_35_1.jpg,224,224,224,224,50176,1,17083,17083,1.000000,22780,22780,22803,24754
Baseline_NoOp,100142_35_2.jpg,224,224,224,224,50176,1,17083,17083,1.000000,22780,22780,22803,24754
Baseline_NoOp,100142_35_3.jpg,224,224,224,224,50176,1,17083,17083,1.000000,22780,22780,22803,24754
Baseline_NoOp,100142_35_4.jpg,224,224,224,224,50176,1,17083,17083,1.000000,22780,22780,22803,24754
Baseline_NoOp,100142_35_5.jpg,224,224,224,224,50176,1,17083,17083,1.000000,22780,22780,22803,24754
