technique,image_id,roi_index,roi_pixels_w,roi_pixels_h,roi_binary_bytes,roi_base64_chars,roi_base64_bytes_utf8,roi_data_url_bytes_utf8,roi_x,roi_y,roi_box_w,roi_box_h,roi_score,roi_label
GazeRoi+GlobalThumb,COCO_val2014_000000000338.jpg,0,150,120,12034,16048,16048,16071,370,178,150,120,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000000387.jpg,0,240,90,10249,13668,13668,13691,180,100,240,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000000486.jpg,0,290,249,36621,48828,48828,48851,70,79,290,249,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000000699.jpg,0,220,150,6780,9040,9040,9063,137,43,220,150,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000001000.jpg,0,490,260,58808,78412,78412,78435,80,170,490,260,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000001205.jpg,0,450,130,39321,52428,52428,52451,120,150,450,130,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000001342.jpg,0,380,150,17835,23780,23780,23803,70,240,380,150,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000001342.jpg,0,120,130,5174,6900,6900,6923,420,330,120,130,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000001398.jpg,0,107,272,14240,18988,18988,19011,195,105,107,272,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000001503.jpg,0,160,100,5006,6676,6676,6699,110,110,160,100,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000001503.jpg,0,170,65,3792,5056,5056,5079,35,110,170,65,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000001525.jpg,0,130,81,7347,9796,9796,9819,290,170,130,81,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000002006.jpg,0,380,270,37163,49552,49552,49575,120,110,380,270,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000002295.jpg,0,300,269,33948,45264,45264,45287,90,49,300,269,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000003255.jpg,0,120,71,4636,6184,6184,6207,210,292,120,71,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000003378.jpg,0,189,120,8141,10856,10856,10879,119,90,189,120,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000003693.jpg,0,350,290,34431,45908,45908,45931,140,99,350,290,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000003703.jpg,0,300,180,36601,48804,48804,48827,90,148,300,180,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000003711.jpg,0,230,520,24431,32576,32576,32599,100,60,230,520,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000003716.jpg,0,200,90,9409,12548,12548,12571,130,140,200,90,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000003742.jpg,0,350,160,18128,24172,24172,24195,140,170,350,160,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000003939.jpg,0,284,103,14024,18700,18700,18723,63,46,284,103,1.000000,
GazeRoi+GlobalThumb,COCO_val2014_000000003939.jpg,0,277,126,16154,21540,21540,21563,47,109,277,126,1.000000,
